#t		0.250000		0.500000		1.000000		2.000000		4.000000		8.000000		16.000000		32.000000		64.000000		128.000000		256.000000		512.000000		1024.000000		2048.000000		4096.000000		8192.000000		
0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000068	1.009232	1.123587	1.600212	2.968520	6.626754	16.443266	43.002801	114.683901	304.752797	
0.010000	1.000000	0.999991	0.999937	0.999717	0.998826	0.995263	0.981346	0.938204	0.868997	0.774565	0.655096	0.562593	0.509052	0.481044	0.466833	0.459690	
0.020000	0.999999	0.999963	0.999747	0.998867	0.995324	0.981364	0.929775	0.780521	0.543458	0.352287	0.250719	0.203235	0.181010	0.170353	0.165147	0.162576	
0.030000	0.999997	0.999916	0.999432	0.997456	0.989552	0.959183	0.856488	0.618966	0.353452	0.203208	0.138691	0.111133	0.098687	0.092807	0.089954	0.088549	
0.040000	0.999995	0.999850	0.998990	0.995489	0.981604	0.930031	0.773748	0.488260	0.247250	0.134901	0.090642	0.072334	0.064166	0.060328	0.058469	0.057555	
0.050000	0.999993	0.999766	0.998424	0.992973	0.971605	0.895465	0.691023	0.390249	0.183649	0.097569	0.065074	0.051832	0.045957	0.043203	0.041870	0.041215	
0.060000	0.999989	0.999663	0.997732	0.989920	0.959710	0.857090	0.613928	0.317763	0.142736	0.074693	0.049614	0.039477	0.034994	0.032894	0.031879	0.031376	
0.070000	0.999985	0.999542	0.996917	0.986341	0.946091	0.816416	0.544958	0.263632	0.114819	0.059523	0.039441	0.031363	0.027797	0.026128	0.025322	0.024915	
0.080000	0.999981	0.999402	0.995979	0.982252	0.930938	0.774751	0.484655	0.222490	0.094856	0.048871	0.032331	0.025699	0.022775	0.021407	0.020746	0.020393	
0.090000	0.999976	0.999244	0.994918	0.977668	0.914449	0.733157	0.432548	0.190612	0.080035	0.041059	0.027133	0.021561	0.019107	0.017959	0.017403	0.016461	
0.100000	0.999970	0.999067	0.993737	0.972607	0.896824	0.692440	0.387740	0.165446	0.068693	0.035132	0.023198	0.018431	0.016332	0.015351	0.014891	0.016367	
0.110000	0.999964	0.998872	0.992436	0.967088	0.878263	0.653176	0.349234	0.145237	0.059792	0.030510	0.020135	0.015995	0.014173	0.013322	0.013018	0.018365	
0.120000	0.999957	0.998658	0.991016	0.961132	0.858956	0.615743	0.316079	0.128757	0.052661	0.026825	0.017695	0.014056	0.012454	0.011706	0.011204	0.009848	
0.130000	0.999950	0.998427	0.989480	0.954761	0.839088	0.580364	0.287432	0.115131	0.046846	0.023831	0.015715	0.012481	0.011059	0.010402	0.011302	0.031689	
0.140000	0.999942	0.998177	0.987828	0.947997	0.818826	0.547141	0.262573	0.103726	0.042032	0.021359	0.014081	0.011183	0.009909	0.009282	0.007058	0.005156	
0.150000	0.999933	0.997909	0.986063	0.940863	0.798325	0.516092	0.240901	0.094075	0.037994	0.019291	0.012715	0.010098	0.008947	0.008420	0.009178	0.036361	
0.160000	0.999924	0.997623	0.984185	0.933383	0.777724	0.487173	0.221915	0.085829	0.034568	0.017539	0.011559	0.009179	0.008131	0.007156	0.001290	0.016489	
0.170000	0.999914	0.997319	0.982198	0.925582	0.757146	0.460299	0.205201	0.078720	0.031633	0.016041	0.010570	0.008393	0.007436	0.006841	0.010599	0.065864	
0.180000	0.999904	0.996998	0.980103	0.917483	0.736698	0.435365	0.190417	0.072543	0.029095	0.014747	0.009716	0.007715	0.006880	0.008979	0.035388	0.141815	
0.190000	0.999893	0.996659	0.977901	0.909111	0.716472	0.412248	0.177280	0.067138	0.026884	0.013621	0.008973	0.007126	0.006466	0.010847	0.048731	0.168153	
0.200000	0.999882	0.996302	0.975597	0.900490	0.696544	0.390824	0.165556	0.062377	0.024943	0.012633	0.008322	0.006609	0.006173	0.012600	0.058493	0.178556	
0.210000	0.999870	0.995928	0.973190	0.891644	0.676981	0.370967	0.155049	0.058159	0.023229	0.011761	0.007747	0.006147	0.004846	0.002508	0.027975	0.117881	
0.220000	0.999857	0.995537	0.970684	0.882597	0.657832	0.352555	0.145595	0.054401	0.021706	0.010988	0.007237	0.005767	0.006189	0.019254	0.080544	0.195690	
0.230000	0.999844	0.995129	0.968082	0.873371	0.639138	0.335473	0.137058	0.051037	0.020346	0.010297	0.006782	0.005480	0.007958	0.032052	0.108738	0.208697	
0.240000	0.999830	0.994704	0.965384	0.863988	0.620932	0.319611	0.129320	0.048011	0.019125	0.009677	0.006373	0.004993	0.004462	0.018690	0.075949	0.151103	
0.250000	0.999816	0.994262	0.962595	0.854472	0.603236	0.304870	0.122284	0.045279	0.018024	0.009119	0.006008	0.005050	0.009119	0.038575	0.109472	0.187034	
0.260000	0.999801	0.993804	0.959717	0.844841	0.586065	0.291154	0.115867	0.042802	0.017028	0.008614	0.005677	0.004669	0.008193	0.036748	0.100221	0.181267	
0.270000	0.999786	0.993328	0.956751	0.835117	0.569429	0.278379	0.109995	0.040547	0.016123	0.008155	0.005381	0.004993	0.013437	0.050965	0.111428	0.128903	
0.280000	0.999770	0.992837	0.953702	0.825319	0.553332	0.266467	0.104609	0.038489	0.015297	0.007737	0.005135	0.005552	0.017850	0.059070	0.115192	0.131911	
0.290000	0.999754	0.992330	0.950571	0.815464	0.537772	0.255345	0.099654	0.036604	0.014542	0.007354	0.004881	0.004710	0.014968	0.050026	0.093493	0.104572	
0.300000	0.999737	0.991806	0.947361	0.805570	0.522746	0.244949	0.095084	0.034873	0.013849	0.007005	0.004952	0.008570	0.029525	0.074167	0.137067	0.270024	
