#t		T=0.250000		T=0.500000		T=1.000000		T=2.000000		T=4.000000		T=8.000000		T=16.000000		T=32.000000		T=64.000000		T=128.000000		T=256.000000		T=512.000000		T=1024.000000		T=2048.000000		T=4096.000000		T=8192.000000		
0.000000	1.000041		1.000047		1.000073		1.000119		1.000194		1.000334		1.032348		2.363983		8.253481		16.000478		21.764941		25.168535		27.000467		27.948440		28.430328		28.673234		
0.100000	0.966555		0.965090		0.958120		0.944203		0.923387		0.894642		0.878501		1.755864		5.801822		11.154479		15.144022		17.501188		18.770274		19.427082		19.760984		19.929300		
0.200000	0.877455		0.872444		0.848897		0.803893		0.742001		0.666845		0.591479		0.766169		1.785857		3.150575		4.167446		4.767662		5.090607		5.257686		5.342608		5.385412		
0.300000	0.759455		0.750763		0.710756		0.639769		0.555849		0.477170		0.431969		0.534324		0.908782		1.331887		1.623016		1.788239		1.875413		1.920073		1.942662		1.954020		
0.400000	0.639496		0.628784		0.580999		0.505768		0.439481		0.415628		0.488707		1.261016		4.037017		7.507173		10.041361		11.525471		12.321209		12.732214		12.940951		13.046121		
0.500000	0.534046		0.524023		0.481655		0.429567		0.420278		0.497101		0.729130		2.301490		8.072852		15.411145		20.813085		23.988721		25.694575		26.576472		27.024565		27.250384		
0.600000	0.448046		0.441924		0.419945		0.418325		0.498542		0.699626		1.041941		2.608365		8.289073		15.563034		20.936883		24.101385		25.802655		26.682537		27.129695		27.355065		
0.700000	0.381074		0.382395		0.396722		0.471012		0.659729		0.960257		1.281164		2.075637		4.783625		8.235444		10.780118		12.276742		13.080802		13.496509		13.707734		13.814183		
0.800000	0.335747		0.348053		0.413724		0.581322		0.866740		1.185187		1.397672		1.719561		2.508132		3.340066		3.892856		4.200583		4.361285		4.443179		4.484489		4.505232		
0.900000	0.322781		0.348425		0.473684		0.731089		1.061879		1.314056		1.464907		2.198008		4.268976		6.541517		8.094914		8.974861		9.438848		9.676502		9.796695		9.857126		
1.000000	0.357416		0.395664		0.573718		0.887992		1.196014		1.362172		1.580235		3.270374		8.606794		14.954047		19.493698		22.127056		23.532561		24.256897		24.624360		24.809400		
1.100000	0.447930		0.493878		0.699824		1.017539		1.258038		1.393769		1.785077		4.054520		11.103449		19.643923		25.823279		29.429517		31.360175		32.356680		32.862606		33.117469		
1.200000	0.586335		0.632099		0.830429		1.101082		1.275635		1.472320		2.061609		3.983932		9.146832		15.284777		19.710258		22.290459		23.671330		24.383961		24.745738		24.927981		
1.300000	0.750754		0.788501		0.947181		1.144071		1.293912		1.630323		2.375208		3.709884		6.174672		8.731392		10.467488		11.450717		11.969392		12.235147		12.369577		12.437174		
1.400000	0.917247		0.942008		1.043622		1.169969		1.353387		1.861814		2.697243		4.092313		6.492980		8.707084		10.091400		10.838697		11.222860		11.417071		11.514642		11.563535		
1.500000	1.070922		1.081594		1.125901		1.207765		1.477114		2.133573		3.014271		5.186057		10.332957		15.833498		19.567945		21.678263		22.789875		23.358978		23.646736		23.791400		
1.600000	1.209269		1.207828		1.207327		1.281801		1.666348		2.408817		3.328344		6.329415		14.337056		23.416497		29.786319		33.449120		35.395912		36.397154		36.904579		37.159971		
1.700000	1.337344		1.327494		1.301512		1.406467		1.903728		2.668011		3.647457		6.728767		14.481935		23.250234		29.427884		32.991368		34.888758		35.865511		36.360764		36.610090		
1.800000	1.458182		1.444848		1.417027		1.584147		2.163225		2.914822		3.993672		6.578555		11.652778		16.907425		20.481183		22.509747		23.581529		24.131171		24.409335		24.549241		
1.900000	1.564366		1.554358		1.553749		1.804672		2.421895		3.167719		4.392570		6.856055		10.681046		14.040436		16.108904		17.219673		17.789512		18.077335		18.221877		18.294293		
2.000000	1.638018		1.640380		1.700935		2.046100		2.666319		3.444943		4.842323		7.939196		13.579323		18.902567		22.290091		24.139614		25.096539		25.581973		25.826287		25.948824		
2.100000	1.660855		1.685131		1.838652		2.278260		2.891368		3.751999		5.317058		9.373251		18.256220		27.514826		33.745400		37.253269		39.097917		40.041542		40.518480		40.758204		
2.200000	1.626112		1.678801		1.943455		2.469880		3.095178		4.078165		5.783435		10.305618		20.532352		31.492921		39.008036		43.284556		45.546237		46.706593		47.293948		47.589393		
2.300000	1.542578		1.624164		1.996345		2.597616		3.275796		4.403057		6.226950		10.424390		18.732917		27.236360		32.972591		36.215154		37.924874		38.800797		39.243868		39.466660		
2.400000	1.429739		1.534361		1.989586		2.653273		3.431354		4.708060		6.669129		10.562424		16.774641		22.351468		25.853851		27.760088		28.745694		29.245625		29.497236		29.623435		
2.500000	1.310101		1.427915		1.929861		2.646222		3.562179		4.984938		7.131930		11.477572		18.416936		24.463494		28.146749		30.110479		31.113776		31.619432		31.873081		32.000088		
2.600000	1.204119		1.324680		1.836762		2.600251		3.672891		5.238046		7.612400		12.992303		23.001214		32.561605		38.701012		42.072380		43.822377		44.711663		45.159630		45.384412		
2.700000	1.129213		1.243794		1.737036		2.545567		3.772356		5.480434		8.092374		14.342353		26.930020		39.617318		48.038723		52.750774		55.221373		56.483390		57.120802		57.441072		
2.800000	1.101950		1.203809		1.657720		2.508832		3.870264		5.725908		8.556696		14.862112		26.876434		38.835355		46.771015		51.217749		53.551882		54.744989		55.347813		55.650761		
2.900000	1.140093		1.223735		1.622835		2.507413		3.973752		5.981895		9.019341		14.956994		24.571096		33.332174		38.895569		41.944730		43.527498		44.332012		44.737355		44.940772		
3.000000	1.259462		1.320990		1.653856		2.552280		4.090166		6.251351		9.512411		15.640673		24.813022		32.565924		37.231659		39.706809		40.968628		41.603931		41.922458		42.081913		
