#t		c_0		c_1		c_2		c_3		c_4		c_5		c_6		c_7		c_8		c_9		c_10		c_11		c_12		c_13		c_14		c_15		c_16		c_17		c_18		c_19		c_20		c_21		c_22		c_23		c_24		c_25		c_26		c_27		c_28		c_29		c_30		c_31		
0.000000	1.000041	1.000234	1.000194	1.000550	1.000351	1.000870	1.000516	1.001196	1.000690	1.001528	1.000872	1.001871	1.001065	1.002228	1.001267	1.002607	1.001480	1.003022	1.001704	1.003502	1.001937	1.004102	1.002178	1.005013	1.002421	1.005568	1.002619	1.066979	1.002461	7.375756	0.613737	946.084430	
0.100000	0.966604	0.918108	0.888926	0.863340	0.840867	0.819989	0.802851	0.782792	0.771816	0.748835	0.746855	0.716270	0.727961	0.683751	0.715703	0.650283	0.711149	0.615198	0.715848	0.578151	0.731714	0.539039	0.760645	0.497842	0.803778	0.454036	0.860679	0.442261	0.927205	2.659308	0.987487	658.420445	
0.200000	0.877622	0.711552	0.630577	0.564967	0.515318	0.470152	0.443629	0.401967	0.400292	0.347455	0.380171	0.299360	0.382428	0.253541	0.409040	0.208458	0.464675	0.165719	0.557333	0.130693	0.698221	0.112244	0.901859	0.124289	1.190574	0.188802	1.580381	0.281886	1.985332	4.910321	1.908137	162.070095	
0.300000	0.759744	0.471141	0.384488	0.326221	0.300608	0.277972	0.292266	0.270798	0.324358	0.281252	0.384925	0.300699	0.470491	0.329194	0.582984	0.374591	0.729374	0.452489	0.923298	0.588947	1.185955	0.819451	1.549568	1.194011	2.052491	1.769201	2.755443	2.543569	3.519073	12.539080	2.318196	25.752369	
0.400000	0.639854	0.283164	0.275670	0.286625	0.335836	0.378502	0.461711	0.501548	0.610106	0.640020	0.766952	0.796226	0.926402	0.981596	1.088339	1.214036	1.259518	1.518246	1.456085	1.925451	1.703829	2.473170	2.042165	3.208476	2.523579	4.182051	3.201675	5.430726	3.940403	10.939727	2.382602	388.787667	
0.500000	0.534383	0.199045	0.347084	0.463716	0.609507	0.744399	0.897826	1.037542	1.175442	1.336581	1.425928	1.639001	1.640916	1.942340	1.822731	2.244500	1.986583	2.544200	2.159828	2.841744	2.380784	3.141038	2.698631	3.451424	3.172847	3.794059	3.866511	4.222444	4.649504	9.657215	2.728259	862.874847	
0.600000	0.448254	0.240764	0.590226	0.826447	1.078568	1.318457	1.529852	1.752708	1.882131	2.087233	2.110206	2.291358	2.223602	2.351622	2.261298	2.270911	2.280310	2.066416	2.345045	1.768720	2.520839	1.422945	2.872688	1.093138	3.469043	0.862273	4.385494	0.932168	5.535492	5.436459	3.971052	871.549456	
0.700000	0.381035	0.419246	0.981071	1.330190	1.664976	1.942025	2.114611	2.244670	2.247050	2.217399	2.134523	1.930179	1.915062	1.492757	1.725318	1.016247	1.667588	0.599052	1.807905	0.331070	2.193701	0.309095	2.880560	0.658239	3.960864	1.554931	5.577100	3.259283	7.833889	5.389133	7.457196	402.084407	
0.800000	0.335342	0.737713	1.466805	1.855032	2.138082	2.242810	2.184607	1.996567	1.803167	1.444446	1.375189	0.914460	1.155862	0.597635	1.230669	0.566158	1.586135	0.845083	2.193927	1.480946	3.071477	2.591355	4.316420	4.396316	6.127723	7.243109	8.817577	11.547540	12.558467	25.219920	10.420074	29.424470	
0.900000	0.321931	1.168258	1.924087	2.166160	2.174576	1.918040	1.596398	1.193404	1.050301	0.752699	0.986406	0.807687	1.370986	1.268097	2.019077	2.026910	2.800709	3.088481	3.699062	4.589444	4.807207	6.772066	6.314333	9.937367	8.493214	14.398223	11.695853	20.324595	15.771361	36.973168	10.455517	154.338823	
